StationId,StationName,City,State,Location,latitude,longitude
MP006,"Chhoti Gwaltoli, Indore ",Indore,Madhya Pradesh,"22.7164589,75.8711098",22.7164589,75.8711098
MP007,"Marhatal, Jabalpur ",Jabalpur,Madhya Pradesh,"23.1666355,79.9340626",23.1666355,79.9340626
MP008,"Gole Bazar, Katni ",Katni,Madhya Pradesh,"23.8325565,80.3952065",23.8325565,80.3952065
MP009,"Sahilara, Maihar ",Maihar,Madhya Pradesh,"(24.2461982, 80.7277537)",24.2461982,80.7277537
MP010,"Sector-D Industrial Area, Mandideep ",Mandideep,Madhya Pradesh,"23.0957937,77.4917573",23.0957937,77.4917573
MP011,"Sector-2 Industrial Area, Pithampur",Pithampur,Madhya Pradesh,"22.6305388,74.5147509",22.6305388,74.5147509
MP012,"Shasthri Nagar, Ratlam ",Ratlam,Madhya Pradesh,"22.6305388,74.5147509",22.6305388,74.5147509
MP013,"Deen Dayal Nagar, Sagar ",Sagar,Madhya Pradesh,"23.8643501,78.8064284",23.8643501,78.8064284
MP014,"Bandhavgar Colony, Satna ",Satna,Madhya Pradesh,"24.580247,80.8561505",24.580247,80.8561505
MP015,"Vindhyachal STPS, Singrauli ",Singrauli,Madhya Pradesh,"24.0990515,82.6756303",24.0990515,82.6756303
MP016,"Mahakaleshwar Temple, Ujjain ",Ujjain,Madhya Pradesh,"(23.1829722, 75.7681851)",23.1829722,75.7681851
MH001,"More Chowk Waluj, Aurangabad ",Aurangabad,Maharashtra,"(19.8407794, 75.2471696)",19.8407794,75.2471696
MH002,"Chandrapur, Chandrapur ",Chandrapur,Maharashtra,"(19.9508161, 79.2986673)",19.9508161,79.2986673
MH003,"MIDC Khutala, Chandrapur ",Chandrapur,Maharashtra,"(19.9777956, 79.2363327)",19.9777956,79.2363327
MH004,"Khadakpada, Kalyan ",Kalyan,Maharashtra,"(19.2363883, 73.1303624)",19.2363883,73.1303624
MH005,"Bandra, Mumbai ",Mumbai,Maharashtra,"(19.0549792, 72.8402203)",19.0549792,72.8402203
MH006,"Borivali East, Mumbai ",Mumbai,Maharashtra,"(19.2267228, 72.8619328)",19.2267228,72.8619328
MH007,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai",Mumbai,Maharashtra,"19.0965991,72.8653099",19.0965991,72.8653099
MH008,"Colaba, Mumbai ",Mumbai,Maharashtra,"(18.915091, 72.8259691)",18.915091,72.8259691
