,StationId,StationName,City,State,Status,Location,Latitude,Longitude
96,KA006,"Hebbal, Bengaluru ",Bengaluru,Karnataka,Active,"(13.0382184, 77.5919)",13.0382184,77.5919
97,KA007,"Hombegowda Nagar, Bengaluru ",Bengaluru,Karnataka,Active,"(12.9301311, 77.6012969)",12.9301311,77.6012969
98,KA008,"Jayanagar 5th Block, Bengaluru ",Bengaluru,Karnataka,Active,"(12.9196037, 77.583381)",12.9196037,77.583381
99,KA009,"Peenya, Bengaluru ",Bengaluru,Karnataka,Active,"(13.0330515, 77.5332233)",13.0330515,77.5332233
100,KA010,"Sanegurava Halli, Bengaluru ",Bengaluru,Karnataka,Active,,,
101,KA011,"Silk Board, Bengaluru ",Bengaluru,Karnataka,Active,"(12.9170295, 77.6223209)",12.9170295,77.6223209
102,KA012,"Urban, Chamarajanagar ",Chamarajanagar,Karnataka,,,,
103,KA013,"Chikkaballapur Rural, Chikkaballapur ",Chikkaballapur,Karnataka,,,,
104,KA014,"Kalyana Nagara, Chikkamagaluru ",Chikkamagaluru,Karnataka,,,,
105,KA015,"Deshpande Nagar, Hubballi ",Hubballi,Karnataka,,"(15.3597632, 75.1362948)",15.3597632,75.1362948
106,KA016,"Lal Bahadur Shastri Nagar, Kalaburagi ",Kalaburagi,Karnataka,,,,
107,KA017,"Hebbal 1st Stage, Mysuru ",Mysuru,Karnataka,,,,
108,KA018,"Vijay Nagar, Ramanagara ",Ramanagara,Karnataka,,,,
109,KA019,"Ibrahimpur, Vijayapura ",Vijayapura,Karnataka,,"(16.8034264, 75.7199513)",16.8034264,75.7199513
110,KA020,"Collector Office, Yadgir ",Yadgir,Karnataka,,,,
111,KL001,"Udyogamandal, Eloor ",Eloor,Kerala,,"(10.0672963, 76.3091207)",10.0672963,76.3091207
112,KL002,"Kacheripady, Ernakulam ",Ernakulam,Kerala,,"(9.9859094, 76.2834722)",9.9859094,76.2834722
113,KL003,"Thavakkara, Kannur ",Kannur,Kerala,,"(11.8718213, 75.3676065)",11.8718213,75.3676065
114,KL004,"Vyttila, Kochi ",Kochi,Kerala,,"(9.9636706, 76.3181282)",9.9636706,76.3181282
115,KL005,"Polayathode, Kollam ",Kollam,Kerala,,,,
116,KL006,"Palayam, Kozhikode ",Kozhikode,Kerala,,"(11.2459092, 75.7803858)",11.2459092,75.7803858
117,KL007,"Kariavattom, Thiruvananthapuram ",Thiruvananthapuram,Kerala,Active,"(8.5549422, 76.8855036)",8.5549422,76.8855036
118,KL008,"Plammoodu, Thiruvananthapuram ",Thiruvananthapuram,Kerala,Active,,,
119,MP001,"T T Nagar, Bhopal ",Bhopal,Madhya Pradesh,Active,"(23.2286993, 77.4002881)",23.2286993,77.4002881
120,MP002,"Shrivastav Colony, Damoh ",Damoh,Madhya Pradesh,,,,
121,MP003,"Bhopal Chauraha, Dewas ",Dewas,Madhya Pradesh,,,,
122,MP004,"City Center, Gwalior ",Gwalior,Madhya Pradesh,,,,
123,MP005,"Phool Bagh, Gwalior ",Gwalior,Madhya Pradesh,,,,
124,MP006,"Chhoti Gwaltoli, Indore ",Indore,Madhya Pradesh,,,,
125,MP007,"Marhatal, Jabalpur ",Jabalpur,Madhya Pradesh,,,,
126,MP008,"Gole Bazar, Katni ",Katni,Madhya Pradesh,,,,
127,MP009,"Sahilara, Maihar ",Maihar,Madhya Pradesh,,"(24.2461982, 80.7277537)",24.2461982,80.7277537
128,MP010,"Sector-D Industrial Area, Mandideep ",Mandideep,Madhya Pradesh,,,,
129,MP011,"Sector-2 Industrial Area, Pithampur ",Pithampur,Madhya Pradesh,,,,
130,MP012,"Shasthri Nagar, Ratlam ",Ratlam,Madhya Pradesh,,,,
131,MP013,"Deen Dayal Nagar, Sagar ",Sagar,Madhya Pradesh,,,,
132,MP014,"Bandhavgar Colony, Satna ",Satna,Madhya Pradesh,,,,
133,MP015,"Vindhyachal STPS, Singrauli ",Singrauli,Madhya Pradesh,,,,
134,MP016,"Mahakaleshwar Temple, Ujjain ",Ujjain,Madhya Pradesh,,"(23.1829722, 75.7681851)",23.1829722,75.7681851
135,MH001,"More Chowk Waluj, Aurangabad ",Aurangabad,Maharashtra,,"(19.8407794, 75.2471696)",19.8407794,75.2471696
136,MH002,"Chandrapur, Chandrapur ",Chandrapur,Maharashtra,,"(19.9508161, 79.2986673)",19.9508161,79.2986673
137,MH003,"MIDC Khutala, Chandrapur ",Chandrapur,Maharashtra,,"(19.9777956, 79.2363327)",19.9777956,79.2363327
138,MH004,"Khadakpada, Kalyan ",Kalyan,Maharashtra,,"(19.2363883, 73.1303624)",19.2363883,73.1303624
139,MH005,"Bandra, Mumbai ",Mumbai,Maharashtra,Active,"(19.0549792, 72.8402203)",19.0549792,72.8402203
140,MH006,"Borivali East, Mumbai ",Mumbai,Maharashtra,Active,"(19.2267228, 72.8619328)",19.2267228,72.8619328
141,MH007,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai ",Mumbai,Maharashtra,Active,,,
142,MH008,"Colaba, Mumbai ",Mumbai,Maharashtra,Active,"(18.915091, 72.8259691)",18.915091,72.8259691
143,MH009,"Kurla, Mumbai ",Mumbai,Maharashtra,Active,"(19.0655397, 72.8795636)",19.0655397,72.8795636
144,MH010,"Powai, Mumbai ",Mumbai,Maharashtra,Active,"(19.1187195, 72.9073476)",19.1187195,72.9073476
145,MH011,"Sion, Mumbai ",Mumbai,Maharashtra,Active,"(19.0465213, 72.8632834)",19.0465213,72.8632834
146,MH012,"Vasai West, Mumbai ",Mumbai,Maharashtra,Active,,,
147,MH013,"Vile Parle West, Mumbai ",Mumbai,Maharashtra,Active,"(19.103908, 72.840301)",19.103908,72.840301
148,MH014,"Worli, Mumbai ",Mumbai,Maharashtra,Active,"(19.0117388, 72.8178706)",19.0117388,72.8178706
149,MH015,"Opp GPO Civil Lines, Nagpur ",Nagpur,Maharashtra,,,,
150,MH016,"Gangapur Road, Nashik ",Nashik,Maharashtra,,"(20.0132845, 73.7417717)",20.0132845,73.7417717
151,MH017,"Airoli, Navi Mumbai ",Navi Mumbai,Maharashtra,,"(19.1585147, 72.9994019)",19.1585147,72.9994019
152,MH018,"Mahape, Navi Mumbai ",Navi Mumbai,Maharashtra,,"(19.1093012, 73.0235724)",19.1093012,73.0235724
153,MH019,"Nerul, Navi Mumbai ",Navi Mumbai,Maharashtra,,"(19.0335938, 73.018164)",19.0335938,73.018164
154,MH020,"Karve Road, Pune ",Pune,Maharashtra,,"(18.5012255, 73.8144408)",18.5012255,73.8144408
155,MH021,"Solapur, Solapur ",Solapur,Maharashtra,,"(17.6699734, 75.9008118)",17.6699734,75.9008118
156,MH022,"Pimpleshwar Mandir, Thane ",Thane,Maharashtra,,,,
157,ML001,"Lumpyngngad, Shillong ",Shillong,Meghalaya,Active,,,
158,MZ001,"Sikulpuikawn, Aizawl ",Aizawl,Mizoram,Active,,,
159,OD001,"GM Office, Brajrajnagar ",Brajrajnagar,Odisha,Active,,,
160,OD002,"Talcher Coalfields,Talcher ",Talcher,Odisha,Active,,,
161,PB001,"Golden Temple, Amritsar ",Amritsar,Punjab,Active,"(31.6199787, 74.8765281)",31.6199787,74.8765281
162,PB002,"Hardev Nagar, Bathinda ",Bathinda,Punjab,,,,
163,PB003,"Civil Line, Jalandhar ",Jalandhar,Punjab,,,,
164,PB004,"Kalal Majra, Khanna ",Khanna,Punjab,,"(30.7715259, 76.1994007)",30.7715259,76.1994007
165,PB005,"Punjab Agricultural University, Ludhiana ",Ludhiana,Punjab,,"(30.9040094, 75.8004222)",30.9040094,75.8004222
