stationid,year,season,aqi_mean,latitude,longitude,closest_nuclear_distance,mean_distance_3_nearest,closest_nuclear_plant,nuclear_density_100km,inverse_distance_score_100km,log_closest_nuclear_distance,log_mean_distance_3_nearest
BR009,2020,2,94.45054945054945,25.6066335,85.1014347,721.6026238694792,878.5325092947764,N.A.P.S,0,0.0,6.582859449857624,6.779390526876833
BR009,2020,3,67.0,25.6066335,85.1014347,721.6026238694792,878.5325092947764,N.A.P.S,0,0.0,6.582859449857624,6.779390526876833
BR010,2019,4,328.0,25.6012282,85.0804538,719.9415774050822,876.5581651892722,N.A.P.S,0,0.0,6.580558104050503,6.77714323825924
BR010,2020,1,227.86516853932585,25.6012282,85.0804538,719.9415774050822,876.5581651892722,N.A.P.S,0,0.0,6.580558104050503,6.77714323825924
BR010,2020,2,172.84615384615384,25.6012282,85.0804538,719.9415774050822,876.5581651892722,N.A.P.S,0,0.0,6.580558104050503,6.77714323825924
BR010,2020,3,46.0,25.6012282,85.0804538,719.9415774050822,876.5581651892722,N.A.P.S,0,0.0,6.580558104050503,6.77714323825924
CH001,2019,3,85.16,30.7516466,76.7567324,329.9756321672182,551.9809199890491,N.A.P.S,0,0.0,5.802044753836907,6.315323498194822
CH001,2019,4,149.2391304347826,30.7516466,76.7567324,329.9756321672182,551.9809199890491,N.A.P.S,0,0.0,5.802044753836907,6.315323498194822
CH001,2020,1,80.68131868131869,30.7516466,76.7567324,329.9756321672182,551.9809199890491,N.A.P.S,0,0.0,5.802044753836907,6.315323498194822
CH001,2020,2,62.06666666666667,30.7516466,76.7567324,329.9756321672182,551.9809199890491,N.A.P.S,0,0.0,5.802044753836907,6.315323498194822
CH001,2020,3,66.0,30.7516466,76.7567324,329.9756321672182,551.9809199890491,N.A.P.S,0,0.0,5.802044753836907,6.315323498194822
DL001,2018,4,365.76,28.7973118,77.138667,143.17516625514605,355.3828898904726,N.A.P.S,0,0.0,4.971028992649042,5.8760056862805685
DL001,2019,1,257.56666666666666,28.7973118,77.138667,143.17516625514605,355.3828898904726,N.A.P.S,0,0.0,4.971028992649042,5.8760056862805685
DL001,2019,2,210.20987654320987,28.7973118,77.138667,143.17516625514605,355.3828898904726,N.A.P.S,0,0.0,4.971028992649042,5.8760056862805685
DL001,2019,3,94.06521739130434,28.7973118,77.138667,143.17516625514605,355.3828898904726,N.A.P.S,0,0.0,4.971028992649042,5.8760056862805685
DL001,2019,4,309.6111111111111,28.7973118,77.138667,143.17516625514605,355.3828898904726,N.A.P.S,0,0.0,4.971028992649042,5.8760056862805685
DL001,2020,1,220.73626373626374,28.7973118,77.138667,143.17516625514605,355.3828898904726,N.A.P.S,0,0.0,4.971028992649042,5.8760056862805685
DL001,2020,2,134.73033707865167,28.7973118,77.138667,143.17516625514605,355.3828898904726,N.A.P.S,0,0.0,4.971028992649042,5.8760056862805685
DL001,2020,3,108.0,28.7973118,77.138667,143.17516625514605,355.3828898904726,N.A.P.S,0,0.0,4.971028992649042,5.8760056862805685
DL002,2018,1,376.6024096385542,28.6466157,77.3155317,120.05368072852782,341.325077307733,N.A.P.S,0,0.0,4.796234089601082,5.835760804049669
DL002,2018,2,286.01176470588234,28.6466157,77.3155317,120.05368072852782,341.325077307733,N.A.P.S,0,0.0,4.796234089601082,5.835760804049669
DL002,2018,3,174.4090909090909,28.6466157,77.3155317,120.05368072852782,341.325077307733,N.A.P.S,0,0.0,4.796234089601082,5.835760804049669
DL002,2018,4,445.9021739130435,28.6466157,77.3155317,120.05368072852782,341.325077307733,N.A.P.S,0,0.0,4.796234089601082,5.835760804049669
DL002,2019,1,312.68888888888887,28.6466157,77.3155317,120.05368072852782,341.325077307733,N.A.P.S,0,0.0,4.796234089601082,5.835760804049669
DL002,2019,2,257.9222222222222,28.6466157,77.3155317,120.05368072852782,341.325077307733,N.A.P.S,0,0.0,4.796234089601082,5.835760804049669
DL002,2019,3,147.26136363636363,28.6466157,77.3155317,120.05368072852782,341.325077307733,N.A.P.S,0,0.0,4.796234089601082,5.835760804049669
DL002,2019,4,374.6703296703297,28.6466157,77.3155317,120.05368072852782,341.325077307733,N.A.P.S,0,0.0,4.796234089601082,5.835760804049669
DL002,2020,1,258.8988764044944,28.6466157,77.3155317,120.05368072852782,341.325077307733,N.A.P.S,0,0.0,4.796234089601082,5.835760804049669
DL002,2020,2,166.3709677419355,28.6466157,77.3155317,120.05368072852782,341.325077307733,N.A.P.S,0,0.0,4.796234089601082,5.835760804049669
DL002,2020,3,157.0,28.6466157,77.3155317,120.05368072852782,341.325077307733,N.A.P.S,0,0.0,4.796234089601082,5.835760804049669
DL003,2018,1,307.125,28.6885171,77.1739339,134.50351441659546,345.6879057651275,N.A.P.S,0,0.0,4.908997576637248,5.848424968220761
DL003,2018,2,254.84444444444443,28.6885171,77.1739339,134.50351441659546,345.6879057651275,N.A.P.S,0,0.0,4.908997576637248,5.848424968220761
DL003,2018,3,117.16304347826087,28.6885171,77.1739339,134.50351441659546,345.6879057651275,N.A.P.S,0,0.0,4.908997576637248,5.848424968220761
DL003,2018,4,369.0217391304348,28.6885171,77.1739339,134.50351441659546,345.6879057651275,N.A.P.S,0,0.0,4.908997576637248,5.848424968220761
DL003,2019,1,296.55555555555554,28.6885171,77.1739339,134.50351441659546,345.6879057651275,N.A.P.S,0,0.0,4.908997576637248,5.848424968220761
DL003,2019,2,224.8111111111111,28.6885171,77.1739339,134.50351441659546,345.6879057651275,N.A.P.S,0,0.0,4.908997576637248,5.848424968220761
DL003,2019,3,129.9673913043478,28.6885171,77.1739339,134.50351441659546,345.6879057651275,N.A.P.S,0,0.0,4.908997576637248,5.848424968220761
DL003,2019,4,347.85869565217394,28.6885171,77.1739339,134.50351441659546,345.6879057651275,N.A.P.S,0,0.0,4.908997576637248,5.848424968220761
DL003,2020,1,254.26373626373626,28.6885171,77.1739339,134.50351441659546,345.6879057651275,N.A.P.S,0,0.0,4.908997576637248,5.848424968220761
DL003,2020,2,110.52747252747253,28.6885171,77.1739339,134.50351441659546,345.6879057651275,N.A.P.S,0,0.0,4.908997576637248,5.848424968220761
DL003,2020,3,99.0,28.6885171,77.1739339,134.50351441659546,345.6879057651275,N.A.P.S,0,0.0,4.908997576637248,5.848424968220761
DL004,2018,1,237.95555555555555,28.476491,77.1329132,129.8894192334009,328.4999665492277,N.A.P.S,0,0.0,4.874352838735192,5.797576252422762
DL004,2018,2,204.8735632183908,28.476491,77.1329132,129.8894192334009,328.4999665492277,N.A.P.S,0,0.0,4.874352838735192,5.797576252422762
DL004,2018,3,106.29885057471265,28.476491,77.1329132,129.8894192334009,328.4999665492277,N.A.P.S,0,0.0,4.874352838735192,5.797576252422762
DL004,2018,4,282.80898876404495,28.476491,77.1329132,129.8894192334009,328.4999665492277,N.A.P.S,0,0.0,4.874352838735192,5.797576252422762
DL004,2019,1,185.70114942528735,28.476491,77.1329132,129.8894192334009,328.4999665492277,N.A.P.S,0,0.0,4.874352838735192,5.797576252422762
DL004,2019,2,146.50574712643677,28.476491,77.1329132,129.8894192334009,328.4999665492277,N.A.P.S,0,0.0,4.874352838735192,5.797576252422762
DL004,2019,3,109.78260869565217,28.476491,77.1329132,129.8894192334009,328.4999665492277,N.A.P.S,0,0.0,4.874352838735192,5.797576252422762
DL004,2019,4,279.64130434782606,28.476491,77.1329132,129.8894192334009,328.4999665492277,N.A.P.S,0,0.0,4.874352838735192,5.797576252422762
DL004,2020,1,168.3846153846154,28.476491,77.1329132,129.8894192334009,328.4999665492277,N.A.P.S,0,0.0,4.874352838735192,5.797576252422762
DL004,2020,2,103.86363636363636,28.476491,77.1329132,129.8894192334009,328.4999665492277,N.A.P.S,0,0.0,4.874352838735192,5.797576252422762
DL004,2020,3,90.0,28.476491,77.1329132,129.8894192334009,328.4999665492277,N.A.P.S,0,0.0,4.874352838735192,5.797576252422762
DL005,2018,3,117.60227272727273,28.79966,77.0328847,152.3488700467154,356.3930833857423,N.A.P.S,0,0.0,5.032715522073481,5.878836249952005
DL005,2018,4,394.8152173913044,28.79966,77.0328847,152.3488700467154,356.3930833857423,N.A.P.S,0,0.0,5.032715522073481,5.878836249952005
DL005,2019,1,323.0,28.79966,77.0328847,152.3488700467154,356.3930833857423,N.A.P.S,0,0.0,5.032715522073481,5.878836249952005
DL005,2019,2,254.62222222222223,28.79966,77.0328847,152.3488700467154,356.3930833857423,N.A.P.S,0,0.0,5.032715522073481,5.878836249952005
DL005,2019,3,127.65217391304348,28.79966,77.0328847,152.3488700467154,356.3930833857423,N.A.P.S,0,0.0,5.032715522073481,5.878836249952005
DL005,2019,4,352.2717391304348,28.79966,77.0328847,152.3488700467154,356.3930833857423,N.A.P.S,0,0.0,5.032715522073481,5.878836249952005
DL005,2020,1,275.4111111111111,28.79966,77.0328847,152.3488700467154,356.3930833857423,N.A.P.S,0,0.0,5.032715522073481,5.878836249952005
DL005,2020,2,170.48314606741573,28.79966,77.0328847,152.3488700467154,356.3930833857423,N.A.P.S,0,0.0,5.032715522073481,5.878836249952005
DL005,2020,3,129.0,28.79966,77.0328847,152.3488700467154,356.3930833857423,N.A.P.S,0,0.0,5.032715522073481,5.878836249952005
DL006,2018,1,240.42222222222222,28.7285944,77.1993251,134.3127328043709,348.9844563066833,N.A.P.S,0,0.0,4.907588638689525,5.857888742944948
DL006,2018,2,226.9268292682927,28.7285944,77.1993251,134.3127328043709,348.9844563066833,N.A.P.S,0,0.0,4.907588638689525,5.857888742944948
DL006,2018,3,112.56410256410257,28.7285944,77.1993251,134.3127328043709,348.9844563066833,N.A.P.S,0,0.0,4.907588638689525,5.857888742944948
DL006,2018,4,372.25,28.7285944,77.1993251,134.3127328043709,348.9844563066833,N.A.P.S,0,0.0,4.907588638689525,5.857888742944948
DL006,2019,1,253.92045454545453,28.7285944,77.1993251,134.3127328043709,348.9844563066833,N.A.P.S,0,0.0,4.907588638689525,5.857888742944948
DL006,2019,2,194.3448275862069,28.7285944,77.1993251,134.3127328043709,348.9844563066833,N.A.P.S,0,0.0,4.907588638689525,5.857888742944948
DL006,2019,3,112.72826086956522,28.7285944,77.1993251,134.3127328043709,348.9844563066833,N.A.P.S,0,0.0,4.907588638689525,5.857888742944948
DL006,2019,4,293.1081081081081,28.7285944,77.1993251,134.3127328043709,348.9844563066833,N.A.P.S,0,0.0,4.907588638689525,5.857888742944948
DL007,2018,1,306.0112359550562,28.5500925,77.2751557,119.28347750437217,333.45098430983654,N.A.P.S,0,0.0,4.789851269444761,5.8124903346303105
DL007,2018,2,241.31034482758622,28.5500925,77.2751557,119.28347750437217,333.45098430983654,N.A.P.S,0,0.0,4.789851269444761,5.8124903346303105
DL007,2018,3,151.32608695652175,28.5500925,77.2751557,119.28347750437217,333.45098430983654,N.A.P.S,0,0.0,4.789851269444761,5.8124903346303105
DL007,2018,4,385.67058823529413,28.5500925,77.2751557,119.28347750437217,333.45098430983654,N.A.P.S,0,0.0,4.789851269444761,5.8124903346303105
DL007,2019,1,261.55172413793105,28.5500925,77.2751557,119.28347750437217,333.45098430983654,N.A.P.S,0,0.0,4.789851269444761,5.8124903346303105
DL007,2019,2,219.02197802197801,28.5500925,77.2751557,119.28347750437217,333.45098430983654,N.A.P.S,0,0.0,4.789851269444761,5.8124903346303105
DL007,2019,3,118.1304347826087,28.5500925,77.2751557,119.28347750437217,333.45098430983654,N.A.P.S,0,0.0,4.789851269444761,5.8124903346303105
DL007,2019,4,321.45652173913044,28.5500925,77.2751557,119.28347750437217,333.45098430983654,N.A.P.S,0,0.0,4.789851269444761,5.8124903346303105
DL007,2020,1,236.07692307692307,28.5500925,77.2751557,119.28347750437217,333.45098430983654,N.A.P.S,0,0.0,4.789851269444761,5.8124903346303105
DL007,2020,2,119.04395604395604,28.5500925,77.2751557,119.28347750437217,333.45098430983654,N.A.P.S,0,0.0,4.789851269444761,5.8124903346303105
DL007,2020,3,97.0,28.5500925,77.2751557,119.28347750437217,333.45098430983654,N.A.P.S,0,0.0,4.789851269444761,5.8124903346303105
DL008,2018,1,322.9154929577465,28.7508153,77.1162765,142.6314833806034,351.46736170596836,N.A.P.S,0,0.0,4.967250876181275,5.864958027060466
DL008,2018,2,271.88505747126436,28.7508153,77.1162765,142.6314833806034,351.46736170596836,N.A.P.S,0,0.0,4.967250876181275,5.864958027060466
DL008,2018,3,107.43478260869566,28.7508153,77.1162765,142.6314833806034,351.46736170596836,N.A.P.S,0,0.0,4.967250876181275,5.864958027060466
DL008,2018,4,388.74725274725273,28.7508153,77.1162765,142.6314833806034,351.46736170596836,N.A.P.S,0,0.0,4.967250876181275,5.864958027060466
DL008,2019,1,284.7176470588235,28.7508153,77.1162765,142.6314833806034,351.46736170596836,N.A.P.S,0,0.0,4.967250876181275,5.864958027060466
DL008,2019,2,240.92134831460675,28.7508153,77.1162765,142.6314833806034,351.46736170596836,N.A.P.S,0,0.0,4.967250876181275,5.864958027060466
DL008,2019,3,124.43333333333334,28.7508153,77.1162765,142.6314833806034,351.46736170596836,N.A.P.S,0,0.0,4.967250876181275,5.864958027060466
DL008,2019,4,342.15384615384613,28.7508153,77.1162765,142.6314833806034,351.46736170596836,N.A.P.S,0,0.0,4.967250876181275,5.864958027060466
DL008,2020,1,272.6666666666667,28.7508153,77.1162765,142.6314833806034,351.46736170596836,N.A.P.S,0,0.0,4.967250876181275,5.864958027060466
DL008,2020,2,162.4835164835165,28.7508153,77.1162765,142.6314833806034,351.46736170596836,N.A.P.S,0,0.0,4.967250876181275,5.864958027060466
DL008,2020,3,167.0,28.7508153,77.1162765,142.6314833806034,351.46736170596836,N.A.P.S,0,0.0,4.967250876181275,5.864958027060466
DL009,2018,1,211.25,28.5000822,77.2675147,118.08667537077248,329.4347904936255,N.A.P.S,0,0.0,4.7798515924431415,5.80040933420756
DL009,2018,2,204.1868131868132,28.5000822,77.2675147,118.08667537077248,329.4347904936255,N.A.P.S,0,0.0,4.7798515924431415,5.80040933420756
DL009,2018,3,111.36666666666666,28.5000822,77.2675147,118.08667537077248,329.4347904936255,N.A.P.S,0,0.0,4.7798515924431415,5.80040933420756
DL009,2018,4,307.0,28.5000822,77.2675147,118.08667537077248,329.4347904936255,N.A.P.S,0,0.0,4.7798515924431415,5.80040933420756
DL009,2019,1,241.1123595505618,28.5000822,77.2675147,118.08667537077248,329.4347904936255,N.A.P.S,0,0.0,4.7798515924431415,5.80040933420756
DL009,2019,2,176.22222222222223,28.5000822,77.2675147,118.08667537077248,329.4347904936255,N.A.P.S,0,0.0,4.7798515924431415,5.80040933420756
