stationid,year,season,aqi_mean,city_clean,state_clean,district_clean,district_seasonal_rainfall_mm,state_seasonal_rainfall_mm,weighted_seasonal_rainfall_mm,rainfall_source,log_weighted_seasonal_rainfall_mm
DL022,2020,2,131.5125,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL022,2020,3,120.0,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL023,2018,1,300.0701754385965,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL023,2018,2,258.34065934065933,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL023,2018,3,103.3076923076923,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL023,2018,4,371.05494505494505,delhi,delhi,,,1.0373160736348974,1.0373160736348974,state_only,0.7116332914496049
DL023,2019,1,260.93333333333334,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL023,2019,2,239.3111111111111,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL023,2019,3,123.93478260869566,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL023,2019,4,322.967032967033,delhi,delhi,,,1.0373160736348974,1.0373160736348974,state_only,0.7116332914496049
DL023,2020,1,242.65934065934067,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL023,2020,2,165.0,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL023,2020,3,115.0,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL024,2018,1,259.2631578947368,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL024,2018,2,224.34065934065933,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL024,2018,3,109.55434782608695,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL024,2018,4,384.9347826086956,delhi,delhi,,,1.0373160736348974,1.0373160736348974,state_only,0.7116332914496049
DL024,2019,1,310.73333333333335,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL024,2019,2,195.2888888888889,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL024,2019,3,103.02173913043478,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL024,2019,4,362.92391304347825,delhi,delhi,,,1.0373160736348974,1.0373160736348974,state_only,0.7116332914496049
DL024,2020,1,275.4065934065934,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL024,2020,2,155.1868131868132,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL024,2020,3,87.0,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL025,2018,1,303.3,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL025,2018,2,248.68055555555554,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL025,2018,3,105.78021978021978,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL025,2018,4,348.53846153846155,delhi,delhi,,,1.0373160736348974,1.0373160736348974,state_only,0.7116332914496049
DL025,2019,1,301.5731707317073,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL025,2019,2,255.0,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL025,2019,3,115.41304347826087,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL025,2019,4,297.97701149425285,delhi,delhi,,,1.0373160736348974,1.0373160736348974,state_only,0.7116332914496049
DL025,2020,1,195.7,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL025,2020,2,107.14285714285714,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL025,2020,3,88.0,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL026,2018,1,255.71929824561403,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL026,2018,2,232.75555555555556,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL026,2018,3,110.05494505494505,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL026,2018,4,349.10869565217394,delhi,delhi,,,1.0373160736348974,1.0373160736348974,state_only,0.7116332914496049
DL026,2019,1,266.64444444444445,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL026,2019,2,181.58426966292134,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL026,2019,3,107.75,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL026,2019,4,330.20652173913044,delhi,delhi,,,1.0373160736348974,1.0373160736348974,state_only,0.7116332914496049
DL026,2020,1,241.58241758241758,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL026,2020,2,112.9010989010989,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL026,2020,3,102.0,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL027,2018,1,254.14814814814815,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL027,2018,2,219.21978021978023,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL027,2018,3,111.93478260869566,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL027,2018,4,336.1304347826087,delhi,delhi,,,1.0373160736348974,1.0373160736348974,state_only,0.7116332914496049
DL027,2019,1,247.32222222222222,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL027,2019,2,176.7,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL027,2019,3,92.70652173913044,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL027,2019,4,300.1521739130435,delhi,delhi,,,1.0373160736348974,1.0373160736348974,state_only,0.7116332914496049
DL027,2020,1,217.43820224719101,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL027,2020,2,91.49450549450549,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL027,2020,3,69.0,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL028,2018,1,352.5581395348837,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL028,2018,2,298.52272727272725,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL028,2018,3,215.1304347826087,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL028,2018,4,375.4021739130435,delhi,delhi,,,1.0373160736348974,1.0373160736348974,state_only,0.7116332914496049
DL028,2019,1,316.5681818181818,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL028,2019,2,296.3333333333333,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL028,2019,3,155.91304347826087,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL028,2019,4,342.6333333333333,delhi,delhi,,,1.0373160736348974,1.0373160736348974,state_only,0.7116332914496049
DL028,2020,1,272.7752808988764,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL028,2020,2,152.14634146341464,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL028,2020,3,94.0,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL029,2018,3,119.32584269662921,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL029,2018,4,328.70454545454544,delhi,delhi,,,1.0373160736348974,1.0373160736348974,state_only,0.7116332914496049
DL029,2019,1,260.6777777777778,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL029,2019,2,196.45555555555555,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL029,2019,3,105.71428571428571,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL029,2019,4,317.2307692307692,delhi,delhi,,,1.0373160736348974,1.0373160736348974,state_only,0.7116332914496049
DL029,2020,1,233.91011235955057,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL029,2020,2,125.05172413793103,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL029,2020,3,97.0,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL030,2018,1,208.53333333333333,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL030,2018,2,167.9047619047619,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL030,2018,3,96.68478260869566,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL030,2018,4,288.86206896551727,delhi,delhi,,,1.0373160736348974,1.0373160736348974,state_only,0.7116332914496049
DL030,2019,1,199.1046511627907,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL030,2019,2,159.54444444444445,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL030,2019,3,83.47826086956522,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL030,2019,4,268.6630434782609,delhi,delhi,,,1.0373160736348974,1.0373160736348974,state_only,0.7116332914496049
DL030,2020,1,164.1868131868132,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL030,2020,2,125.71739130434783,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL030,2020,3,101.0,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL031,2018,1,309.5681818181818,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL031,2018,2,228.58620689655172,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL031,2018,3,115.75,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL031,2018,4,355.1630434782609,delhi,delhi,,,1.0373160736348974,1.0373160736348974,state_only,0.7116332914496049
DL031,2019,1,286.1744186046512,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL031,2019,2,188.7888888888889,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
