stationid,year,season,aqi_mean,latitude,longitude,closest_farm_distance,mean_distance_3_nearest_farms,closest_farm_label,farm_density_100km,inverse_distance_score_100km,crop_weighted_inverse_score_100km,size_weighted_inverse_score_100km,local_size_total_100km,log_closest_farm_distance,log_mean_distance_3_nearest_farms
CH001,2020,1,80.68131868131869,30.7516466,76.7567324,2.9758113125291414,7.063275085099072,"Chandigarh, India",14,0.667710577238421,2.922363299612536,0.0,0.0,1.3802288310608684,2.087319812087189
CH001,2020,2,62.06666666666667,30.7516466,76.7567324,2.9758113125291414,7.063275085099072,"Chandigarh, India",14,0.667710577238421,2.922363299612536,0.0,0.0,1.3802288310608684,2.087319812087189
CH001,2020,3,66.0,30.7516466,76.7567324,2.9758113125291414,7.063275085099072,"Chandigarh, India",14,0.667710577238421,2.922363299612536,0.0,0.0,1.3802288310608684,2.087319812087189
DL001,2018,4,365.76,28.7973118,77.138667,5.457816156816159,10.208515808578106,"North Delhi, Delhi, India",29,0.974793325089186,3.16084062652621,0.0,0.0,1.8652912044202166,2.4166738294406067
DL001,2019,1,257.56666666666666,28.7973118,77.138667,5.457816156816159,10.208515808578106,"North Delhi, Delhi, India",29,0.974793325089186,3.16084062652621,0.0,0.0,1.8652912044202166,2.4166738294406067
DL001,2019,2,210.20987654320987,28.7973118,77.138667,5.457816156816159,10.208515808578106,"North Delhi, Delhi, India",29,0.974793325089186,3.16084062652621,0.0,0.0,1.8652912044202166,2.4166738294406067
DL001,2019,3,94.06521739130434,28.7973118,77.138667,5.457816156816159,10.208515808578106,"North Delhi, Delhi, India",29,0.974793325089186,3.16084062652621,0.0,0.0,1.8652912044202166,2.4166738294406067
DL001,2019,4,309.6111111111111,28.7973118,77.138667,5.457816156816159,10.208515808578106,"North Delhi, Delhi, India",29,0.974793325089186,3.16084062652621,0.0,0.0,1.8652912044202166,2.4166738294406067
DL001,2020,1,220.73626373626374,28.7973118,77.138667,5.457816156816159,10.208515808578106,"North Delhi, Delhi, India",29,0.974793325089186,3.16084062652621,0.0,0.0,1.8652912044202166,2.4166738294406067
DL001,2020,2,134.73033707865167,28.7973118,77.138667,5.457816156816159,10.208515808578106,"North Delhi, Delhi, India",29,0.974793325089186,3.16084062652621,0.0,0.0,1.8652912044202166,2.4166738294406067
DL001,2020,3,108.0,28.7973118,77.138667,5.457816156816159,10.208515808578106,"North Delhi, Delhi, India",29,0.974793325089186,3.16084062652621,0.0,0.0,1.8652912044202166,2.4166738294406067
DL002,2018,1,376.6024096385542,28.6466157,77.3155317,2.5871177114858313,5.901792999327239,"East Delhi, Delhi, India",26,1.281538054150055,3.704363403964499,0.0,0.0,1.2773490141493804,1.9317812328217197
DL002,2018,2,286.01176470588234,28.6466157,77.3155317,2.5871177114858313,5.901792999327239,"East Delhi, Delhi, India",26,1.281538054150055,3.704363403964499,0.0,0.0,1.2773490141493804,1.9317812328217197
DL002,2018,3,174.4090909090909,28.6466157,77.3155317,2.5871177114858313,5.901792999327239,"East Delhi, Delhi, India",26,1.281538054150055,3.704363403964499,0.0,0.0,1.2773490141493804,1.9317812328217197
DL002,2018,4,445.9021739130435,28.6466157,77.3155317,2.5871177114858313,5.901792999327239,"East Delhi, Delhi, India",26,1.281538054150055,3.704363403964499,0.0,0.0,1.2773490141493804,1.9317812328217197
DL002,2019,1,312.68888888888887,28.6466157,77.3155317,2.5871177114858313,5.901792999327239,"East Delhi, Delhi, India",26,1.281538054150055,3.704363403964499,0.0,0.0,1.2773490141493804,1.9317812328217197
DL002,2019,2,257.9222222222222,28.6466157,77.3155317,2.5871177114858313,5.901792999327239,"East Delhi, Delhi, India",26,1.281538054150055,3.704363403964499,0.0,0.0,1.2773490141493804,1.9317812328217197
DL002,2019,3,147.26136363636363,28.6466157,77.3155317,2.5871177114858313,5.901792999327239,"East Delhi, Delhi, India",26,1.281538054150055,3.704363403964499,0.0,0.0,1.2773490141493804,1.9317812328217197
DL002,2019,4,374.6703296703297,28.6466157,77.3155317,2.5871177114858313,5.901792999327239,"East Delhi, Delhi, India",26,1.281538054150055,3.704363403964499,0.0,0.0,1.2773490141493804,1.9317812328217197
DL002,2020,1,258.8988764044944,28.6466157,77.3155317,2.5871177114858313,5.901792999327239,"East Delhi, Delhi, India",26,1.281538054150055,3.704363403964499,0.0,0.0,1.2773490141493804,1.9317812328217197
DL002,2020,2,166.3709677419355,28.6466157,77.3155317,2.5871177114858313,5.901792999327239,"East Delhi, Delhi, India",26,1.281538054150055,3.704363403964499,0.0,0.0,1.2773490141493804,1.9317812328217197
DL002,2020,3,157.0,28.6466157,77.3155317,2.5871177114858313,5.901792999327239,"East Delhi, Delhi, India",26,1.281538054150055,3.704363403964499,0.0,0.0,1.2773490141493804,1.9317812328217197
DL003,2018,1,307.125,28.6885171,77.1739339,4.830084001611547,7.024663266015857,"Central Delhi, Delhi, India",26,1.218741091971624,3.7145172912900666,0.0,0.0,1.7630314087682988,2.082519707514631
DL003,2018,2,254.84444444444443,28.6885171,77.1739339,4.830084001611547,7.024663266015857,"Central Delhi, Delhi, India",26,1.218741091971624,3.7145172912900666,0.0,0.0,1.7630314087682988,2.082519707514631
DL003,2018,3,117.16304347826087,28.6885171,77.1739339,4.830084001611547,7.024663266015857,"Central Delhi, Delhi, India",26,1.218741091971624,3.7145172912900666,0.0,0.0,1.7630314087682988,2.082519707514631
DL003,2018,4,369.0217391304348,28.6885171,77.1739339,4.830084001611547,7.024663266015857,"Central Delhi, Delhi, India",26,1.218741091971624,3.7145172912900666,0.0,0.0,1.7630314087682988,2.082519707514631
DL003,2019,1,296.55555555555554,28.6885171,77.1739339,4.830084001611547,7.024663266015857,"Central Delhi, Delhi, India",26,1.218741091971624,3.7145172912900666,0.0,0.0,1.7630314087682988,2.082519707514631
DL003,2019,2,224.8111111111111,28.6885171,77.1739339,4.830084001611547,7.024663266015857,"Central Delhi, Delhi, India",26,1.218741091971624,3.7145172912900666,0.0,0.0,1.7630314087682988,2.082519707514631
DL003,2019,3,129.9673913043478,28.6885171,77.1739339,4.830084001611547,7.024663266015857,"Central Delhi, Delhi, India",26,1.218741091971624,3.7145172912900666,0.0,0.0,1.7630314087682988,2.082519707514631
DL003,2019,4,347.85869565217394,28.6885171,77.1739339,4.830084001611547,7.024663266015857,"Central Delhi, Delhi, India",26,1.218741091971624,3.7145172912900666,0.0,0.0,1.7630314087682988,2.082519707514631
DL003,2020,1,254.26373626373626,28.6885171,77.1739339,4.830084001611547,7.024663266015857,"Central Delhi, Delhi, India",26,1.218741091971624,3.7145172912900666,0.0,0.0,1.7630314087682988,2.082519707514631
DL003,2020,2,110.52747252747253,28.6885171,77.1739339,4.830084001611547,7.024663266015857,"Central Delhi, Delhi, India",26,1.218741091971624,3.7145172912900666,0.0,0.0,1.7630314087682988,2.082519707514631
DL003,2020,3,99.0,28.6885171,77.1739339,4.830084001611547,7.024663266015857,"Central Delhi, Delhi, India",26,1.218741091971624,3.7145172912900666,0.0,0.0,1.7630314087682988,2.082519707514631
DL004,2018,1,237.95555555555555,28.476491,77.1329132,5.38939252251806,12.801422133226268,"South Delhi, New Delhi, Delhi, India",25,0.8165781179215158,2.5272742284504512,0.0,0.0,1.8546391969717173,2.624771639985888
DL004,2018,2,204.8735632183908,28.476491,77.1329132,5.38939252251806,12.801422133226268,"South Delhi, New Delhi, Delhi, India",25,0.8165781179215158,2.5272742284504512,0.0,0.0,1.8546391969717173,2.624771639985888
DL004,2018,3,106.29885057471265,28.476491,77.1329132,5.38939252251806,12.801422133226268,"South Delhi, New Delhi, Delhi, India",25,0.8165781179215158,2.5272742284504512,0.0,0.0,1.8546391969717173,2.624771639985888
DL004,2018,4,282.80898876404495,28.476491,77.1329132,5.38939252251806,12.801422133226268,"South Delhi, New Delhi, Delhi, India",25,0.8165781179215158,2.5272742284504512,0.0,0.0,1.8546391969717173,2.624771639985888
DL004,2019,1,185.70114942528735,28.476491,77.1329132,5.38939252251806,12.801422133226268,"South Delhi, New Delhi, Delhi, India",25,0.8165781179215158,2.5272742284504512,0.0,0.0,1.8546391969717173,2.624771639985888
DL004,2019,2,146.50574712643677,28.476491,77.1329132,5.38939252251806,12.801422133226268,"South Delhi, New Delhi, Delhi, India",25,0.8165781179215158,2.5272742284504512,0.0,0.0,1.8546391969717173,2.624771639985888
DL004,2019,3,109.78260869565217,28.476491,77.1329132,5.38939252251806,12.801422133226268,"South Delhi, New Delhi, Delhi, India",25,0.8165781179215158,2.5272742284504512,0.0,0.0,1.8546391969717173,2.624771639985888
DL004,2019,4,279.64130434782606,28.476491,77.1329132,5.38939252251806,12.801422133226268,"South Delhi, New Delhi, Delhi, India",25,0.8165781179215158,2.5272742284504512,0.0,0.0,1.8546391969717173,2.624771639985888
DL004,2020,1,168.3846153846154,28.476491,77.1329132,5.38939252251806,12.801422133226268,"South Delhi, New Delhi, Delhi, India",25,0.8165781179215158,2.5272742284504512,0.0,0.0,1.8546391969717173,2.624771639985888
DL004,2020,2,103.86363636363636,28.476491,77.1329132,5.38939252251806,12.801422133226268,"South Delhi, New Delhi, Delhi, India",25,0.8165781179215158,2.5272742284504512,0.0,0.0,1.8546391969717173,2.624771639985888
DL004,2020,3,90.0,28.476491,77.1329132,5.38939252251806,12.801422133226268,"South Delhi, New Delhi, Delhi, India",25,0.8165781179215158,2.5272742284504512,0.0,0.0,1.8546391969717173,2.624771639985888
DL005,2018,3,117.60227272727273,28.79966,77.0328847,9.55208216674408,12.604727725714861,"North West Delhi, Delhi, India",30,0.8340825917198811,2.7699728683025695,0.0,0.0,2.356323202225492,2.6104173592245767
DL005,2018,4,394.8152173913044,28.79966,77.0328847,9.55208216674408,12.604727725714861,"North West Delhi, Delhi, India",30,0.8340825917198811,2.7699728683025695,0.0,0.0,2.356323202225492,2.6104173592245767
DL005,2019,1,323.0,28.79966,77.0328847,9.55208216674408,12.604727725714861,"North West Delhi, Delhi, India",30,0.8340825917198811,2.7699728683025695,0.0,0.0,2.356323202225492,2.6104173592245767
DL005,2019,2,254.62222222222223,28.79966,77.0328847,9.55208216674408,12.604727725714861,"North West Delhi, Delhi, India",30,0.8340825917198811,2.7699728683025695,0.0,0.0,2.356323202225492,2.6104173592245767
DL005,2019,3,127.65217391304348,28.79966,77.0328847,9.55208216674408,12.604727725714861,"North West Delhi, Delhi, India",30,0.8340825917198811,2.7699728683025695,0.0,0.0,2.356323202225492,2.6104173592245767
DL005,2019,4,352.2717391304348,28.79966,77.0328847,9.55208216674408,12.604727725714861,"North West Delhi, Delhi, India",30,0.8340825917198811,2.7699728683025695,0.0,0.0,2.356323202225492,2.6104173592245767
DL005,2020,1,275.4111111111111,28.79966,77.0328847,9.55208216674408,12.604727725714861,"North West Delhi, Delhi, India",30,0.8340825917198811,2.7699728683025695,0.0,0.0,2.356323202225492,2.6104173592245767
DL005,2020,2,170.48314606741573,28.79966,77.0328847,9.55208216674408,12.604727725714861,"North West Delhi, Delhi, India",30,0.8340825917198811,2.7699728683025695,0.0,0.0,2.356323202225492,2.6104173592245767
DL005,2020,3,129.0,28.79966,77.0328847,9.55208216674408,12.604727725714861,"North West Delhi, Delhi, India",30,0.8340825917198811,2.7699728683025695,0.0,0.0,2.356323202225492,2.6104173592245767
DL006,2018,1,240.42222222222222,28.7285944,77.1993251,5.714288110589431,5.7566929671073686,"North East Delhi, Delhi, India",27,1.2163135127071152,3.7732973470291213,0.0,0.0,1.9042378095509798,1.9105335643053472
DL006,2018,2,226.9268292682927,28.7285944,77.1993251,5.714288110589431,5.7566929671073686,"North East Delhi, Delhi, India",27,1.2163135127071152,3.7732973470291213,0.0,0.0,1.9042378095509798,1.9105335643053472
DL006,2018,3,112.56410256410257,28.7285944,77.1993251,5.714288110589431,5.7566929671073686,"North East Delhi, Delhi, India",27,1.2163135127071152,3.7732973470291213,0.0,0.0,1.9042378095509798,1.9105335643053472
DL006,2018,4,372.25,28.7285944,77.1993251,5.714288110589431,5.7566929671073686,"North East Delhi, Delhi, India",27,1.2163135127071152,3.7732973470291213,0.0,0.0,1.9042378095509798,1.9105335643053472
DL006,2019,1,253.92045454545453,28.7285944,77.1993251,5.714288110589431,5.7566929671073686,"North East Delhi, Delhi, India",27,1.2163135127071152,3.7732973470291213,0.0,0.0,1.9042378095509798,1.9105335643053472
DL006,2019,2,194.3448275862069,28.7285944,77.1993251,5.714288110589431,5.7566929671073686,"North East Delhi, Delhi, India",27,1.2163135127071152,3.7732973470291213,0.0,0.0,1.9042378095509798,1.9105335643053472
DL006,2019,3,112.72826086956522,28.7285944,77.1993251,5.714288110589431,5.7566929671073686,"North East Delhi, Delhi, India",27,1.2163135127071152,3.7732973470291213,0.0,0.0,1.9042378095509798,1.9105335643053472
DL006,2019,4,293.1081081081081,28.7285944,77.1993251,5.714288110589431,5.7566929671073686,"North East Delhi, Delhi, India",27,1.2163135127071152,3.7732973470291213,0.0,0.0,1.9042378095509798,1.9105335643053472
DL007,2018,1,306.0112359550562,28.5500925,77.2751557,0.1735957032633477,6.241808638452191,"South East Delhi, Delhi, India",25,1.7106012123110055,4.343708596764755,0.0,0.0,0.1600722866805495,1.979870987140728
DL007,2018,2,241.31034482758622,28.5500925,77.2751557,0.1735957032633477,6.241808638452191,"South East Delhi, Delhi, India",25,1.7106012123110055,4.343708596764755,0.0,0.0,0.1600722866805495,1.979870987140728
DL007,2018,3,151.32608695652175,28.5500925,77.2751557,0.1735957032633477,6.241808638452191,"South East Delhi, Delhi, India",25,1.7106012123110055,4.343708596764755,0.0,0.0,0.1600722866805495,1.979870987140728
DL007,2018,4,385.67058823529413,28.5500925,77.2751557,0.1735957032633477,6.241808638452191,"South East Delhi, Delhi, India",25,1.7106012123110055,4.343708596764755,0.0,0.0,0.1600722866805495,1.979870987140728
